Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"51034 Bannay, France",51034,0,COM,Bannay,11.57894737,0.139986965,0
"21402 Menesble, France",21402,0,COM,Menesble,20,0.176420568,0
"2B221 Piedipartino, France",2B221,0,COM,Piedipartino,13,0.289882509,0
"9226 Pech, France",9226,0,COM,Pech,27,0.404158285,0
"76501 Pierrefiques, France",76501,0,COM,Pierrefiques,79.40740741,0.534105528,0
"25221 Esnans, France",25221,0,COM,Esnans,51.70209367,0.589803898,0
"26062 Brette, France",26062,0,COM,Brette,21.23529412,0.418582388,0
"5094 Nossage-et-Bénévent, France",5094,0,COM,Nossage-et-Bénévent,17.06666667,0.044915421,0
"51190 Courtagnon, France",51190,0,COM,Courtagnon,44.61971831,0.636857064,0
"2632 Quincy-Basse, France",2632,0,COM,Quincy-Basse,26.33928571,0.763864625,0
"2B216 Piazzali, France",2B216,0,COM,Piazzali,14.21052632,0.118107822,0
"55222 Gussainville, France",55222,0,COM,Gussainville,16.4516129,0.209350021,0
"65379 Ris, France",65379,0,COM,Ris,16.94117647,0.052734721,0
"78264 Gambaiseuil, France",78264,0,COM,Gambaiseuil,29.47368421,0.385756372,0
"55033 Baulny, France",55033,0,COM,Baulny,3.777777778,0.217279704,0
"33295 Mouillac, France",33295,0,COM,Mouillac,73,0.857814408,0
"76512 Puisenval, France",76512,0,COM,Puisenval,10.56,0.147338412,0
"10252 Montmartin-le-Haut, France",10252,0,COM,Montmartin-le-Haut,37.33333333,0.622215447,0
"95141 Charmont, France",95141,0,COM,Charmont,13,0.083775863,0
"25501 Rondefontaine, France",25501,0,COM,Rondefontaine,19.55882353,0.396440251,0
"57657 Sotzeling, France",57657,0,COM,Sotzeling,7.619047619,0.06098011,0
"31081 Bourg-d'Oueil, France",31081,0,COM,Bourg-d'Oueil,1.666666667,0.029985694,0
"9053 Bestiac, France",9053,0,COM,Bestiac,10.52631579,0.061825821,0
"2542 Neuflieux, France",2542,0,COM,Neuflieux,59.41463415,0.703364778,0
"80528 Méréaucourt, France",80528,0,COM,Méréaucourt,6.023261839,0.051892103,0
"76274 La Fontelaye, France",76274,0,COM,La Fontelaye,16.57142857,0.140360573,0
"55468 Samogneux, France",55468,0,COM,Samogneux,62,0.428851995,0
"26351 Les Tonils, France",26351,0,COM,Les Tonils,16.2,0.12967964,0
"52549 Vroncourt-la-Côte, France",52549,0,COM,Vroncourt-la-Côte,14,0.331454698,0
"65349 Ourdon, France",65349,0,COM,Ourdon,2.454545455,0.033495038,0
"38375 Saint-Christophe-en-Oisans, France",38375,0,COM,Saint-Christophe-en-Oisans,76.13461538,1.412270925,0
"65359 Peyriguère, France",65359,0,COM,Peyriguère,15.61538462,0.194788739,0
"51166 Contault, France",51166,0,COM,Contault,44,0.885569517,0
"54169 Domprix, France",54169,0,COM,Domprix,58.06451613,0.764832086,0
"61399 Saint-Gervais-des-Sablons, France",61399,0,COM,Saint-Gervais-des-Sablons,63,0.82477179,0
"60078 Blincourt, France",60078,0,COM,Blincourt,62.68965517,0.697450954,0
"52179 Doulevant-le-Petit, France",52179,0,COM,Doulevant-le-Petit,14.95,0.172784088,0
"72214 Nauvay, France",72214,0,COM,Nauvay,7.272727273,0.052376201,0
"31134 Cazeneuve-Montaut, France",31134,0,COM,Cazeneuve-Montaut,54.25301205,0.395020731,0
"58206 Parigny-la-Rose, France",58206,0,COM,Parigny-la-Rose,28.29411765,0.549884139,0
"14666 Sannerville, France",14666,0,COM,Sannerville,1273.074858,13.05739087,0
