Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"11374 Salza, France",11374,0,COM,Salza,8.888888889,0.176860434,0
"25049 Belfays, France",25049,0,COM,Belfays,92,0.564420248,0
"55559 Villeroy-sur-Méholle, France",55559,0,COM,Villeroy-sur-Méholle,31.19565217,0.397327775,0
"89422 Trichey, France",89422,0,COM,Trichey,32.23255814,0.375912905,0
"52316 Mathons, France",52316,0,COM,Mathons,45.69230769,0.817598511,0
"32003 Antras, France",32003,0,COM,Antras,39.16666667,0.987262634,0
"28025 Barmainville, France",28025,0,COM,Barmainville,54.42990654,0.806645659,0
"39455 Reithouse, France",39455,0,COM,Reithouse,49,0.656136871,0
"10047 Blignicourt, France",10047,0,COM,Blignicourt,19.51219512,0.285939809,0
"9260 Sainte-Foi, France",9260,0,COM,Sainte-Foi,15,0.153989092,0
"9222 Orus, France",9222,0,COM,Orus,13.48148148,0.098142349,0
"21653 Vannaire, France",21653,0,COM,Vannaire,36.87272727,0.361769454,0
"31559 Trébons-de-Luchon, France",31559,0,COM,Trébons-de-Luchon,7.714285714,0.101589435,0
"57657 Sotzeling, France",57657,0,COM,Sotzeling,7.619047619,0.057841535,0
"80528 Méréaucourt, France",80528,0,COM,Méréaucourt,6.023261839,0.049262313,0
"31549 Sode, France",31549,0,COM,Sode,7,0.21529301,0
"9195 Monesple, France",9195,0,COM,Monesple,23.42307692,0.54960795,0
"9226 Pech, France",9226,0,COM,Pech,27,0.396786147,0
"9162 Lercoul, France",9162,0,COM,Lercoul,16.625,0.37718892,0
"34231 Romiguières, France",34231,0,COM,Romiguières,17,0.137381197,0
"32058 Blousson-Sérian, France",32058,0,COM,Blousson-Sérian,41.97619048,0.555924793,0
"32153 Haulies, France",32153,0,COM,Haulies,89.88535032,0.828187651,0
"57446 Marimont-lès-Bénestroff, France",57446,0,COM,Marimont-lès-Bénestroff,29,0.293083624,0
"88187 Frénois, France",88187,0,COM,Frénois,23.84855339,0.187710038,0
"80035 Aubercourt, France",80035,0,COM,Aubercourt,39.50617284,0.295105896,0
"63442 Valz-sous-Châteauneuf, France",63442,0,COM,Valz-sous-Châteauneuf,42.18867925,0.731739738,0
"10252 Montmartin-le-Haut, France",10252,0,COM,Montmartin-le-Haut,37.33333333,0.629398088,0
"95141 Charmont, France",95141,0,COM,Charmont,13,0.135182126,0
"48138 Saint-Bonnet-de-Chirac, France",48138,0,COM,Saint-Bonnet-de-Chirac,44,0.24334599,0
"65102 Bouilh-Devant, France",65102,0,COM,Bouilh-Devant,20,0.32819435,0
"88125 Darney-aux-Chênes, France",88125,0,COM,Darney-aux-Chênes,40.63492064,0.46688118,0
"25474 Le Puy, France",25474,0,COM,Le Puy,34.61261261,0.302883038,0
"39359 Montmarlon, France",39359,0,COM,Montmarlon,21,0.114765576,0
"65261 Laran, France",65261,0,COM,Laran,35.48979592,0.598592888,0
"65134 Casterets, France",65134,0,COM,Casterets,4,0.075627687,0
"65379 Ris, France",65379,0,COM,Ris,16.94117647,0.05310569,0
"38375 Saint-Christophe-en-Oisans, France",38375,0,COM,Saint-Christophe-en-Oisans,76.13461538,1.393099483,0
"52493 Tornay, France",52493,0,COM,Tornay,18.17241379,0.516192219,0
"57673 Thonville, France",57673,0,COM,Thonville,33,0.184372419,0
"34303 Sorbs, France",34303,0,COM,Sorbs,27.69230769,0.315248246,0
"70030 Arsans, France",70030,0,COM,Arsans,25,0.499076234,0
"50430 Reigneville-Bocage, France",50430,0,COM,Reigneville-Bocage,13,0.148287483,0
"21402 Menesble, France",21402,0,COM,Menesble,20,0.175787259,0
"61399 Saint-Gervais-des-Sablons, France",61399,0,COM,Saint-Gervais-des-Sablons,63,0.800580037,0
"25093 Bretigney, France",25093,0,COM,Bretigney,63.28947368,0.427561895,0
"8300 Le Mont-Dieu, France",8300,0,COM,Le Mont-Dieu,3,0.038892207,0
"31353 Monès, France",31353,0,COM,Monès,43.80952381,0.575656457,0
"48157 Sainte-Hélène, France",48157,0,COM,Sainte-Hélène,70.04081633,0.25107996,0
"65349 Ourdon, France",65349,0,COM,Ourdon,2.454545455,0.033495038,0
"25102 Burnevillers, France",25102,0,COM,Burnevillers,30.97959184,0.432318172,0
"52234 Hâcourt, France",52234,0,COM,Hâcourt,28.42105263,0.190412891,0
"21309 Griselles, France",21309,0,COM,Griselles,40.19565217,0.856549334,0
"21303 Les Goulles, France",21303,0,COM,Les Goulles,10,0.089794754,0
"4067 Curel, France",4067,0,COM,Curel,57,0.519864386,0
