Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"52002 Aigremont, France",52002,0,COM,Aigremont,26.47826087,0.535200124,0
"61088 Champ-Haut, France",61088,0,COM,Champ-Haut,44.72727273,0.561711713,0
"38549 Villard-Notre-Dame, France",38549,0,COM,Villard-Notre-Dame,15,0.118851801,0
"95492 Le Plessis-Gassot, France",95492,0,COM,Le Plessis-Gassot,41.23287671,0.277425529,0
"38551 Villard-Reymond, France",38551,0,COM,Villard-Reymond,34.46153846,0.570308513,0
"2278 Éparcy, France",2278,0,COM,Éparcy,27.09677419,0.286846437,0
"9053 Bestiac, France",9053,0,COM,Bestiac,10.52631579,0.067332017,0
"21653 Vannaire, France",21653,0,COM,Vannaire,36.87272727,0.372880191,0
"28025 Barmainville, France",28025,0,COM,Barmainville,54.42990654,0.841816321,0
"9134 Gestiès, France",9134,0,COM,Gestiès,35,0.296279564,0
"61399 Saint-Gervais-des-Sablons, France",61399,0,COM,Saint-Gervais-des-Sablons,63,0.848647693,0
"9162 Lercoul, France",9162,0,COM,Lercoul,16.625,0.376007316,0
"9195 Monesple, France",9195,0,COM,Monesple,23.42307692,0.552093455,0
"61481 Tellières-le-Plessis, France",61481,0,COM,Tellières-le-Plessis,50,0.695593456,0
"9222 Orus, France",9222,0,COM,Orus,13.48148148,0.099020573,0
"9226 Pech, France",9226,0,COM,Pech,27,0.403697845,0
"9260 Sainte-Foi, France",9260,0,COM,Sainte-Foi,15,0.155631302,0
"62389 Grincourt-lès-Pas, France",62389,0,COM,Grincourt-lès-Pas,15,0.22598197,0
"39192 Denezières, France",39192,0,COM,Denezières,65,1.074997553,0
"39221 La Favière, France",39221,0,COM,La Favière,20,0.277286553,0
"95438 Moussy, France",95438,0,COM,Moussy,81.89655172,0.689455771,0
"80035 Aubercourt, France",80035,0,COM,Aubercourt,39.50617284,0.285918247,0
"66232 Vira, France",66232,0,COM,Vira,17,0.366524685,0
"66221 Valmanya, France",66221,0,COM,Valmanya,17,0.305431726,0
"66219 Urbanya, France",66219,0,COM,Urbanya,33.19148936,0.602229258,0
"10047 Blignicourt, France",10047,0,COM,Blignicourt,19.51219512,0.272454738,0
"66191 Sansa, France",66191,0,COM,Sansa,11.66666667,0.209097512,0
"26363 Valouse, France",26363,0,COM,Valouse,29,0.170501319,0
"26359 Vachères-en-Quint, France",26359,0,COM,Vachères-en-Quint,28.33333333,0.203081089,0
"2152 Cerseuil, France",2152,0,COM,Cerseuil,53,0.622342003,0
"28299 Les Pinthières, France",28299,0,COM,Les Pinthières,128.9473684,1.189086316,0
"80528 Méréaucourt, France",80528,0,COM,Méréaucourt,6.023261839,0.051035909,0
"90061 Lamadeleine-Val-des-Anges, France",90061,0,COM,Lamadeleine-Val-des-Anges,35.1627907,0.227245523,0
"8434 Sy, France",8434,0,COM,Sy,29.42307692,0.322407635,0
"2B221 Piedipartino, France",2B221,0,COM,Piedipartino,13,0.295404746,0
"2B216 Piazzali, France",2B216,0,COM,Piazzali,14.21052632,0.122454574,0
"2B202 Parata, France",2B202,0,COM,Parata,21,0.53712831,0
"2B164 Monacia-d'Orezza, France",2B164,0,COM,Monacia-d'Orezza,21.12,0.524912572,0
"2B157 Mazzola, France",2B157,0,COM,Mazzola,29,0.752688215,0
"8161 Exermont, France",8161,0,COM,Exermont,24.44444444,0.298453183,0
"21145 Charigny, France",21145,0,COM,Charigny,22,0.396176649,0
"2B111 Felce, France",2B111,0,COM,Felce,47,1.318367901,0
"21155 Chaudenay-la-Ville, France",21155,0,COM,Chaudenay-la-Ville,36.15909091,0.334426527,0
"21157 Chaugey, France",21157,0,COM,Chaugey,6.222222222,0.078610171,0
"89422 Trichey, France",89422,0,COM,Trichey,32.23255814,0.377538076,0
"2B106 Érone, France",2B106,0,COM,Érone,8,0.124380075,0
"14080 Le Bô, France",14080,0,COM,Le Bô,70.64516129,0.74319089,0
"76601 Saint-Lucien, France",76601,0,COM,Saint-Lucien,146.6824034,1.1441339,0
"26351 Les Tonils, France",26351,0,COM,Les Tonils,16.2,0.13336859,0
"21197 Corpoyer-la-Chapelle, France",21197,0,COM,Corpoyer-la-Chapelle,33.21428571,0.475340487,0
"21217 Curley, France",21217,0,COM,Curley,91.31851852,0.561306411,0
"2B015 Ampriani, France",2B015,0,COM,Ampriani,17.28,0.378182972,0
"38375 Saint-Christophe-en-Oisans, France",38375,0,COM,Saint-Christophe-en-Oisans,76.13461538,1.43210414,0
"2B005 Alando, France",2B005,0,COM,Alando,19.86206897,0.292874616,0
"70030 Arsans, France",70030,0,COM,Arsans,25,0.505686873,0
