deces_annee,sexe,deces_dep,n
1924,1,80,1
1926,2,62,1
1928,1,972,1
1932,1,40,1
1935,1,55,1
1936,2,38,1
1936,2,972,1
1937,1,NA,1
1938,2,13,1
1942,1,13,1
1942,1,92,2
1942,1,NA,3
1942,2,71,1
1942,2,NA,1
1943,1,92,1
1943,1,NA,2
1944,1,92,1
1944,1,NA,3
1944,2,NA,1
1945,1,49,1
1945,1,NA,3
1946,1,31,1
1947,1,NA,1
1947,2,06,1
1948,2,44,1
1949,1,NA,1
1951,1,972,1
1952,1,NA,1
1958,1,974,2
1958,1,NA,1
1959,1,61,1
1960,1,14,1
1960,1,67,1
1960,1,72,1
1961,1,42,1
1961,1,49,1
1962,1,16,1
1962,1,24,1
1962,1,88,1
1962,1,NA,1
1962,2,974,1
1963,1,22,1
1963,1,29,1
1964,1,13,1
1964,1,22,2
1964,1,29,1
1964,1,974,1
1965,1,44,1
1965,1,49,1
1965,1,NA,2
1965,2,24,1
1966,1,13,1
1966,1,22,1
1966,1,35,1
1966,1,38,1
1966,1,56,1
1966,1,NA,2
1966,2,42,1
1967,1,01,1
1967,1,30,1
1967,1,36,1
1967,1,77,1
1967,2,06,1
1967,2,NA,2
1968,1,14,1
1968,1,23,1
1968,1,31,1
1968,1,41,1
1968,1,57,1
1969,1,13,1
1969,1,2B,1
1969,1,30,1
1969,1,48,1
1969,1,60,1
1969,1,69,1
1969,2,973,1
1970,1,13,1
1970,1,28,1
1970,1,29,1
1970,1,49,1
1970,1,56,1
1970,1,NA,1
1970,2,94,1
1970,2,NA,1
1971,1,13,1
1971,1,35,1
1971,1,60,1
1971,1,79,1
1971,1,971,1
1971,1,NA,1
1971,2,49,1
1971,2,92,1
1972,1,13,2
1972,1,22,2
1972,1,2A,5
1972,1,2B,5
1972,1,34,1
1972,1,35,1
1972,1,44,1
1972,1,47,1
1972,1,49,1
1972,1,64,1
1972,1,75,1
1972,1,83,1
1972,1,88,1
1972,1,91,1
1972,1,NA,2
1972,2,45,1
1973,1,971,2
1973,1,NA,1
1974,1,05,1
1974,1,70,1
1974,1,974,1
1974,2,NA,1
1975,1,69,1
1975,1,971,1
1975,1,972,1
1975,1,NA,1
1976,1,971,1
1976,1,972,1
1976,1,974,1
1976,1,NA,3
1977,1,92,1
1977,1,971,1
1977,2,62,1
1977,2,78,1
1977,2,971,1
1977,2,NA,3
1978,1,06,1
