deces_annee,sexe,age,deces_dep,n
1924,1,0,80,1
1926,2,0,62,1
1928,1,2,972,1
1932,1,0,40,1
1935,1,1,55,1
1936,2,1,972,1
1936,2,28,38,1
1937,1,0,NA,1
1938,2,0,13,1
1942,1,20,NA,1
1942,1,32,NA,1
1942,1,33,92,1
1942,1,34,13,1
1942,1,48,NA,1
1942,1,50,92,1
1942,2,0,71,1
1942,2,34,NA,1
1943,1,0,NA,1
1943,1,18,NA,1
1943,1,36,92,1
1944,1,27,92,1
1944,1,30,NA,1
1944,1,33,NA,1
1944,1,51,NA,1
1944,2,28,NA,1
1945,1,0,NA,1
1945,1,1,49,1
1945,1,35,NA,1
1945,1,37,NA,1
1946,1,0,31,1
1947,1,45,NA,1
1947,2,45,06,1
1948,2,18,44,1
1949,1,0,NA,1
1951,1,0,972,1
1952,1,0,NA,1
1958,1,1,NA,1
1958,1,5,974,1
1958,1,54,974,1
1959,1,39,61,1
1960,1,33,67,1
1960,1,34,14,1
1960,1,46,72,1
1961,1,47,49,1
1961,1,51,42,1
1962,1,5,88,1
1962,1,21,NA,1
1962,1,44,24,1
1962,1,50,16,1
1962,2,0,974,1
1963,1,41,29,1
1963,1,53,22,1
1964,1,25,974,1
1964,1,39,13,1
1964,1,40,22,1
1964,1,50,29,1
1964,1,57,22,1
1965,1,1,NA,1
1965,1,48,49,1
1965,1,50,44,1
1965,1,58,NA,1
1965,2,29,24,1
1966,1,43,13,1
1966,1,43,35,1
1966,1,47,NA,1
1966,1,51,22,1
1966,1,54,NA,1
1966,1,55,38,1
1966,1,60,56,1
1966,2,90,42,1
1967,1,45,01,1
1967,1,49,30,1
1967,1,52,36,1
1967,1,53,77,1
1967,2,0,NA,1
1967,2,43,06,1
1967,2,47,NA,1
1968,1,40,31,1
1968,1,46,23,1
1968,1,48,41,1
1968,1,50,14,1
1968,1,53,57,1
1969,1,0,13,1
1969,1,41,69,1
1969,1,43,60,1
1969,1,48,48,1
1969,1,49,30,1
1969,1,60,2B,1
1969,2,46,973,1
1970,1,47,56,1
1970,1,50,28,1
1970,1,56,13,1
1970,1,56,49,1
1970,1,57,29,1
1970,1,66,NA,1
1970,2,41,94,1
1970,2,58,NA,1
1971,1,38,NA,1
1971,1,42,13,1
1971,1,42,35,1
1971,1,50,79,1
1971,1,53,971,1
1971,1,56,60,1
1971,2,26,49,1
1971,2,45,92,1
1972,1,0,NA,1
1972,1,29,83,1
1972,1,35,44,1
1972,1,43,2B,1
1972,1,45,13,1
1972,1,45,2A,1
1972,1,47,22,1
1972,1,48,NA,1
1972,1,52,2B,1
1972,1,53,35,1
1972,1,53,91,1
1972,1,54,22,1
1972,1,55,49,1
1972,1,58,2A,1
1972,1,58,75,1
1972,1,60,13,1
1972,1,60,64,1
1972,1,61,2A,1
1972,1,61,2B,1
1972,1,62,2B,1
1972,1,63,2A,2
1972,1,63,47,1
1972,1,64,2B,1
1972,1,66,34,1
1972,1,69,88,1
1972,2,35,45,1
1973,1,28,NA,1
1973,1,45,971,1
1973,1,62,971,1
1974,1,0,70,1
1974,1,36,974,1
1974,1,65,05,1
1974,2,2,NA,1
1975,1,38,NA,1
1975,1,46,972,1
1975,1,47,69,1
1975,1,64,971,1
1976,1,24,NA,1
1976,1,50,971,1
1976,1,55,NA,1
1976,1,56,972,1
1976,1,59,NA,1
1976,1,64,974,1
1977,1,68,92,1
1977,1,81,971,1
1977,2,31,NA,1
1977,2,46,62,1
1977,2,63,NA,1
1977,2,75,NA,1
1977,2,88,78,1
1977,2,96,971,1
1978,1,6,NA,1
1978,1,26,974,1
1978,1,65,06,1
1978,1,66,NA,1
1979,1,0,NA,1
1979,1,54,85,1
1979,1,59,NA,1
1979,1,62,69,1
1979,1,64,13,1
1979,2,24,56,1
1979,2,39,973,1
1980,1,0,NA,1
1980,1,50,NA,1
1980,1,52,NA,1
1980,1,55,41,1
1980,1,61,NA,1
1981,1,29,NA,1
1981,1,56,NA,1
1981,1,80,46,1
1981,1,90,971,1
1982,1,0,976,1
1982,1,0,NA,1
1982,1,20,NA,1
1982,1,25,NA,1
1982,1,34,75,1
1982,1,55,47,1
1982,1,59,NA,1
1982,1,75,NA,1
1982,2,0,08,1
1982,2,0,NA,1
1982,2,12,NA,1
1982,2,41,NA,1
1982,2,47,15,1
1982,2,77,2B,1
1983,1,0,60,1
1983,1,0,NA,2
1983,1,13,NA,1
1983,1,33,NA,1
1983,1,39,80,1
1983,1,56,NA,1
1983,1,86,972,1
1983,1,88,972,1
1983,2,67,NA,1
1983,2,81,NA,1
1983,2,92,972,1
1984,1,31,75,1
1984,1,32,NA,1
1984,1,57,NA,1
1984,1,66,93,1
1984,1,67,83,1
1984,1,77,972,1
1984,1,79,75,1
1984,1,86,972,5
1984,1,87,972,1
1984,1,88,972,1
1984,1,89,972,2
1984,1,90,972,1
1984,2,52,NA,1
1984,2,82,972,1
1984,2,85,972,1
1984,2,93,972,1
1985,1,34,NA,1
1985,1,36,NA,1
1985,1,65,NA,1
1985,1,85,NA,1
1985,1,91,972,1
1985,2,67,NA,1
1985,2,92,13,1
1986,1,0,13,1
1986,1,25,NA,1
1986,1,67,83,1
1986,1,70,972,1
1986,1,74,NA,1
1986,1,76,05,1
1986,1,76,NA,1
1986,2,9,NA,1
1986,2,14,NA,1
1986,2,22,77,1
1986,2,100,58,1
1987,1,0,NA,2
1987,1,51,NA,1
1987,1,59,06,1
1987,1,67,NA,1
1987,1,80,NA,1
1987,1,86,NA,1
1987,2,43,NA,1
1987,2,82,40,1
1988,1,0,NA,1
1988,1,55,NA,1
1988,1,66,NA,1
1988,2,51,NA,1
1989,1,20,976,1
1989,1,20,NA,1
1989,1,24,95,1
1989,1,43,NA,1
1989,1,59,NA,1
1989,1,63,NA,1
1989,1,78,974,1
1989,1,79,972,1
1989,1,82,NA,1
1989,2,0,NA,1
1989,2,18,34,1
1989,2,41,NA,1
1989,2,69,972,1
1989,2,70,77,1
1990,1,42,NA,1
1990,1,58,42,1
1990,1,69,73,1
1990,1,76,973,1
1990,1,81,06,1
1990,1,81,972,1
1990,1,82,NA,1
1990,2,15,NA,1
1990,2,38,NA,1
1990,2,56,NA,1
1990,2,80,973,1
1990,2,85,NA,1
1991,1,8,06,1
1991,1,12,NA,1
1991,1,18,NA,1
1991,1,31,NA,1
1991,1,32,NA,1
1991,1,34,NA,1
1991,1,65,NA,1
1991,1,72,972,1
1991,1,85,972,1
1991,1,86,NA,1
1991,2,65,NA,1
1991,2,73,NA,1
1992,1,21,NA,1
1992,1,24,NA,1
1992,1,36,NA,1
1992,1,40,95,1
1992,1,44,75,1
1992,1,48,NA,1
1992,1,57,NA,2
1992,1,60,NA,1
1992,1,64,NA,1
1992,1,72,NA,1
1992,1,92,973,1
1992,1,93,973,1
1992,2,18,NA,1
1992,2,62,NA,1
1992,2,87,NA,1
1992,2,94,NA,1
1993,1,18,NA,1
1993,1,38,NA,1
1993,1,42,89,1
1993,1,42,NA,1
1993,1,44,30,1
1993,1,46,69,1
1993,1,50,69,1
1993,1,59,69,1
1993,1,71,42,1
1993,1,73,67,1
1993,1,79,NA,1
1993,1,82,974,1
1993,1,82,NA,1
1993,1,84,974,1
1993,2,4,NA,1
1993,2,38,NA,1
1993,2,79,974,1
1993,2,82,13,1
1993,2,87,69,2
1993,2,87,NA,1
1993,2,89,69,1
1993,2,97,77,1
1994,1,0,NA,1
1994,1,6,974,1
1994,1,22,NA,1
1994,1,37,974,1
1994,1,40,NA,1
1994,1,43,92,1
1994,1,43,NA,1
1994,1,47,69,1
1994,1,47,NA,1
1994,1,50,NA,1
1994,1,55,NA,1
1994,1,62,973,1
1994,1,70,NA,1
1994,1,77,973,1
1994,1,80,973,1
1994,1,82,973,1
1994,1,85,973,2
1994,1,89,973,1
1994,2,48,NA,1
1994,2,79,13,1
1994,2,85,973,1
1994,2,85,NA,1
1994,2,90,973,1
1994,2,94,NA,1
1995,1,19,NA,1
1995,1,21,NA,1
1995,1,22,NA,2
1995,1,25,NA,1
1995,1,28,NA,1
1995,1,29,NA,1
1995,1,38,NA,1
1995,1,43,NA,1
1995,1,46,NA,2
1995,1,49,NA,1
1995,1,51,NA,1
1995,1,57,NA,1
1995,1,59,973,1
1995,1,61,NA,1
1995,1,62,NA,1
1995,1,63,NA,1
1995,1,66,NA,1
1995,1,68,NA,1
1995,1,69,NA,2
1995,1,70,44,1
1995,1,73,NA,1
1995,1,75,973,1
1995,1,78,972,3
1995,1,78,973,1
1995,1,78,NA,1
1995,1,79,972,1
1995,1,80,31,1
1995,1,80,972,1
1995,1,81,972,2
1995,1,82,972,2
1995,1,82,NA,1
1995,1,83,972,1
1995,1,83,973,1
1995,1,84,972,2
1995,1,86,972,1
1995,1,87,973,2
1995,1,93,972,1
1995,1,95,972,1
1995,1,99,972,1
1995,2,0,13,1
1995,2,21,NA,1
1995,2,28,75,1
1995,2,39,NA,1
1995,2,65,NA,1
1995,2,68,NA,1
1995,2,73,NA,1
1995,2,75,NA,2
1995,2,78,NA,1
1995,2,80,972,1
1995,2,80,NA,1
1995,2,83,972,2
1995,2,84,973,1
1995,2,85,75,1
1995,2,85,972,1
1995,2,86,972,1
1995,2,87,972,1
1995,2,91,NA,1
1996,1,22,NA,1
1996,1,23,NA,1
1996,1,24,NA,1
1996,1,25,NA,1
1996,1,30,NA,1
1996,1,61,69,1
1996,1,61,NA,1
1996,1,62,NA,1
1996,1,68,83,1
1996,1,68,NA,1
1996,1,69,NA,1
1996,1,80,NA,1
1996,1,81,NA,1
1996,1,85,974,1
1996,1,93,NA,1
1996,1,94,NA,1
1996,2,24,NA,1
1996,2,38,NA,1
1996,2,43,NA,1
1996,2,48,NA,1
1996,2,69,NA,1
1996,2,78,NA,1
1996,2,80,NA,1
1996,2,87,NA,1
1996,2,94,NA,1
1997,1,21,NA,1
1997,1,23,NA,2
1997,1,24,NA,1
1997,1,26,NA,1
1997,1,35,NA,1
1997,1,36,NA,1
1997,1,39,NA,1
1997,1,44,NA,1
1997,1,46,NA,1
1997,1,56,NA,1
1997,1,61,NA,1
1997,1,63,42,1
1997,1,63,NA,1
1997,1,65,NA,1
1997,1,70,NA,1
1997,1,71,NA,1
1997,1,73,NA,1
1997,1,76,06,1
1997,1,77,NA,1
1997,1,79,972,1
1997,1,80,69,1
1997,1,80,972,2
1997,1,81,972,1
1997,1,82,NA,1
1997,1,84,NA,1
1997,1,86,NA,1
1997,1,87,NA,1
1997,1,88,972,1
1997,1,91,972,1
1997,1,92,972,1
1997,2,23,NA,1
1997,2,45,NA,1
1997,2,46,NA,1
1997,2,51,NA,1
1997,2,75,NA,1
1997,2,78,972,1
1997,2,79,NA,1
1997,2,80,972,1
1997,2,83,NA,1
1997,2,84,972,1
1997,2,85,NA,1
1997,2,86,972,1
1997,2,89,972,1
1997,2,91,972,1
1997,2,91,NA,1
1998,1,21,NA,1
1998,1,28,NA,1
1998,1,44,NA,1
1998,1,45,NA,3
1998,1,46,NA,1
1998,1,47,NA,1
