SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
levre	01.10	1	1990	27606178	713	526	971	1.8	1.3	2.4	2.6	1.9	3.6	2.6	1.9	3.5
levre	01.10	1	1991	27731738.5	704	519	958	1.7	1.3	2.3	2.6	1.9	3.5	2.5	1.9	3.5
levre	01.10	1	1992	27855283	696	512	946	1.7	1.2	2.3	2.5	1.8	3.4	2.5	1.8	3.4
levre	01.10	1	1993	27957444	684	502	931	1.6	1.2	2.2	2.4	1.8	3.3	2.4	1.8	3.3
levre	01.10	1	1994	28038749.5	669	490	911	1.5	1.1	2.1	2.3	1.7	3.2	2.4	1.7	3.3
levre	01.10	1	1995	28116753.5	649	476	884	1.5	1.1	2	2.2	1.6	3	2.3	1.7	3.1
levre	01.10	1	1996	28195599	624	459	848	1.4	1	1.9	2.1	1.5	2.8	2.2	1.6	3
levre	01.10	1	1997	28275964	594	439	808	1.3	1	1.8	2	1.4	2.7	2.1	1.6	2.9
levre	01.10	1	1998	28361163	563	416	766	1.2	0.9	1.7	1.8	1.3	2.5	2	1.5	2.7
levre	01.10	1	1999	28486063	531	392	723	1.1	0.8	1.5	1.7	1.2	2.3	1.9	1.4	2.5
levre	01.10	1	2000	28657893.5	499	368	681	1.1	0.8	1.4	1.6	1.2	2.1	1.7	1.3	2.4
levre	01.10	1	2001	28844405	468	346	638	1	0.7	1.3	1.4	1.1	2	1.6	1.2	2.2
levre	01.10	1	2002	29033407.5	440	325	598	0.9	0.7	1.2	1.3	1	1.8	1.5	1.1	2.1
levre	01.10	1	2003	29220241.5	416	307	563	0.8	0.6	1.1	1.2	0.9	1.7	1.4	1	1.9
levre	01.10	1	2004	29415016.5	393	292	535	0.8	0.6	1	1.1	0.8	1.6	1.3	1	1.8
levre	01.10	1	2005	29615886	380	281	516	0.7	0.5	1	1.1	0.8	1.5	1.3	0.9	1.7
levre	01.10	1	2006	29815994.5	370	274	503	0.7	0.5	0.9	1	0.8	1.4	1.2	0.9	1.7
