SITE	NUMERO_SITE	SEXE	ANNEE	AGECLASSE	POIDS_MONDE	POIDS_EUROPE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TAUX_I_PRED	TAUX_I_PRED_INF	TAUX_I_PRED_SUP
levre	01.10	1	1990	[00;04]	0.12	0.08	1933176.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[05;09]	0.1	0.07	1975705	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[10;14]	0.09	0.07	1920892	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[15;19]	0.09	0.07	2180747	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[20;24]	0.08	0.07	2151509.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[25;29]	0.08	0.07	2151441	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[30;34]	0.06	0.07	2132209.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[35;39]	0.06	0.07	2146547	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[40;44]	0.06	0.07	2141184	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[45;49]	0.06	0.07	1474710.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[50;54]	0.05	0.07	1435968.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[55;59]	0.04	0.06	1468606	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[60;64]	0.04	0.05	1365437.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[65;69]	0.03	0.04	1208335.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[70;74]	0.02	0.03	614188.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[75;79]	0.01	0.02	654559.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[80;84]	0.005	0.01	416036	NA	NA	NA	NA	NA	NA
levre	01.10	1	1990	[85;++]	0.005	0.01	234924.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[00;04]	0.12	0.08	1927007.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[05;09]	0.1	0.07	1960290	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[10;14]	0.09	0.07	1955056	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[15;19]	0.09	0.07	2105933.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[20;24]	0.08	0.07	2148672	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[25;29]	0.08	0.07	2157720	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[30;34]	0.06	0.07	2141111.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[35;39]	0.06	0.07	2131483.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[40;44]	0.06	0.07	2201917.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[45;49]	0.06	0.07	1570400.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[50;54]	0.05	0.07	1405256.5	NA	NA	NA	NA	NA	NA
levre	01.10	1	1991	[55;59]	0.04	0.06	1446748	NA	NA	NA	NA	NA	NA
