SITE	NUMERO_SITE	SEXE	ANNEE	AGECLASSE	POIDS_MONDE	POIDS_EUROPE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TAUX_I_PRED	TAUX_I_PRED_INF	TAUX_I_PRED_SUP
hodgkin	31.00	1	1990	[00;04]	0.12	0.08	1933176.5	2	1	4	0.1	0.1	0.2
hodgkin	31.00	1	1990	[05;09]	0.1	0.07	1975705	10	7	12	0.5	0.4	0.6
hodgkin	31.00	1	1990	[10;14]	0.09	0.07	1920892	28	23	33	1.5	1.2	1.7
hodgkin	31.00	1	1990	[15;19]	0.09	0.07	2180747	64	56	72	2.9	2.6	3.3
hodgkin	31.00	1	1990	[20;24]	0.08	0.07	2151509.5	89	80	99	4.1	3.7	4.6
hodgkin	31.00	1	1990	[25;29]	0.08	0.07	2151441	98	89	107	4.6	4.1	5
hodgkin	31.00	1	1990	[30;34]	0.06	0.07	2132209.5	89	81	98	4.2	3.8	4.6
hodgkin	31.00	1	1990	[35;39]	0.06	0.07	2146547	77	70	85	3.6	3.3	4
hodgkin	31.00	1	1990	[40;44]	0.06	0.07	2141184	69	62	77	3.2	2.9	3.6
hodgkin	31.00	1	1990	[45;49]	0.06	0.07	1474710.5	46	41	51	3.1	2.8	3.5
hodgkin	31.00	1	1990	[50;54]	0.05	0.07	1435968.5	43	38	49	3	2.6	3.4
hodgkin	31.00	1	1990	[55;59]	0.04	0.06	1468606	42	37	48	2.9	2.5	3.3
hodgkin	31.00	1	1990	[60;64]	0.04	0.05	1365437.5	40	35	46	2.9	2.6	3.4
hodgkin	31.00	1	1990	[65;69]	0.03	0.04	1208335.5	40	35	46	3.3	2.9	3.8
hodgkin	31.00	1	1990	[70;74]	0.02	0.03	614188.5	25	21	29	4.1	3.4	4.7
hodgkin	31.00	1	1990	[75;79]	0.01	0.02	654559.5	34	29	40	5.2	4.4	6.1
hodgkin	31.00	1	1990	[80;84]	0.005	0.01	416036	23	19	29	5.5	4.6	7
hodgkin	31.00	1	1990	[85;++]	0.005	0.01	234924.5	10	8	14	4.3	3.4	6
hodgkin	31.00	1	1991	[00;04]	0.12	0.08	1927007.5	2	1	4	0.1	0.1	0.2
hodgkin	31.00	1	1991	[05;09]	0.1	0.07	1960290	9	7	12	0.5	0.4	0.6
hodgkin	31.00	1	1991	[10;14]	0.09	0.07	1955056	27	23	32	1.4	1.2	1.6
hodgkin	31.00	1	1991	[15;19]	0.09	0.07	2105933.5	61	54	68	2.9	2.6	3.2
hodgkin	31.00	1	1991	[20;24]	0.08	0.07	2148672	87	79	97	4	3.7	4.5
hodgkin	31.00	1	1991	[25;29]	0.08	0.07	2157720	96	88	105	4.4	4.1	4.9
hodgkin	31.00	1	1991	[30;34]	0.06	0.07	2141111.5	88	80	96	4.1	3.7	4.5
hodgkin	31.00	1	1991	[35;39]	0.06	0.07	2131483.5	75	68	83	3.5	3.2	3.9
hodgkin	31.00	1	1991	[40;44]	0.06	0.07	2201917.5	70	63	77	3.2	2.9	3.5
hodgkin	31.00	1	1991	[45;49]	0.06	0.07	1570400.5	48	43	53	3.1	2.7	3.4
hodgkin	31.00	1	1991	[50;54]	0.05	0.07	1405256.5	41	37	46	2.9	2.6	3.3
hodgkin	31.00	1	1991	[55;59]	0.04	0.06	1446748	41	36	46	2.8	2.5	3.2
hodgkin	31.00	1	1991	[60;64]	0.04	0.05	1376735.5	39	35	45	2.8	2.5	3.3
hodgkin	31.00	1	1991	[65;69]	0.03	0.04	1202535.5	39	34	45	3.2	2.8	3.7
hodgkin	31.00	1	1991	[70;74]	0.02	0.03	728249.5	29	25	33	4	3.4	4.5
hodgkin	31.00	1	1991	[75;79]	0.01	0.02	601232.5	31	26	36	5.2	4.3	6
hodgkin	31.00	1	1991	[80;84]	0.005	0.01	424805	23	19	28	5.4	4.5	6.6
hodgkin	31.00	1	1991	[85;++]	0.005	0.01	246584	11	8	14	4.5	3.2	5.7
hodgkin	31.00	1	1992	[00;04]	0.12	0.08	1914872	2	1	4	0.1	0.1	0.2
hodgkin	31.00	1	1992	[05;09]	0.1	0.07	1946387	9	7	12	0.5	0.4	0.6
hodgkin	31.00	1	1992	[10;14]	0.09	0.07	1987372.5	28	23	32	1.4	1.2	1.6
hodgkin	31.00	1	1992	[15;19]	0.09	0.07	2030177	58	51	65	2.9	2.5	3.2
