SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
hodgkin	31.00	1	1990	27606178	829	780	883	2.7	2.5	2.8	2.9	2.8	3.1	3	2.8	3.2
hodgkin	31.00	1	1991	27731738.5	817	769	868	2.6	2.5	2.8	2.9	2.7	3.1	2.9	2.8	3.1
hodgkin	31.00	1	1992	27855283	806	756	858	2.6	2.4	2.7	2.8	2.6	3	2.9	2.7	3.1
hodgkin	31.00	1	1993	27957444	796	745	851	2.5	2.4	2.7	2.8	2.6	3	2.8	2.7	3
hodgkin	31.00	1	1994	28038749.5	789	737	846	2.5	2.3	2.7	2.7	2.6	2.9	2.8	2.6	3
hodgkin	31.00	1	1995	28116753.5	787	735	843	2.5	2.3	2.7	2.7	2.5	2.9	2.8	2.6	3
hodgkin	31.00	1	1996	28195599	790	740	844	2.5	2.3	2.6	2.7	2.5	2.9	2.8	2.6	3
hodgkin	31.00	1	1997	28275964	797	751	850	2.5	2.3	2.7	2.7	2.6	2.9	2.8	2.7	3
hodgkin	31.00	1	1998	28361163	814	764	862	2.5	2.4	2.7	2.8	2.6	2.9	2.9	2.7	3
hodgkin	31.00	1	1999	28486063	827	780	881	2.6	2.4	2.7	2.8	2.6	3	2.9	2.7	3.1
hodgkin	31.00	1	2000	28657893.5	848	799	903	2.6	2.5	2.8	2.9	2.7	3	3	2.8	3.1
hodgkin	31.00	1	2001	28844405	871	824	925	2.7	2.5	2.8	2.9	2.8	3.1	3	2.9	3.2
hodgkin	31.00	1	2002	29033407.5	896	851	947	2.7	2.6	2.9	3	2.8	3.2	3.1	2.9	3.3
hodgkin	31.00	1	2003	29220241.5	924	879	972	2.8	2.7	3	3.1	2.9	3.2	3.2	3	3.3
hodgkin	31.00	1	2004	29415016.5	952	904	1000	2.9	2.7	3	3.1	3	3.3	3.2	3.1	3.4
hodgkin	31.00	1	2005	29615886	976	927	1029	2.9	2.8	3.1	3.2	3	3.4	3.3	3.1	3.5
hodgkin	31.00	1	2006	29815994.5	1001	951	1054	3	2.9	3.2	3.3	3.1	3.4	3.4	3.2	3.5
hodgkin	31.00	1	2007	30001162.5	1022	974	1075	3.1	2.9	3.2	3.3	3.2	3.5	3.4	3.2	3.6
hodgkin	31.00	1	2008	30166090.5	1044	998	1091	3.1	3	3.3	3.4	3.2	3.5	3.5	3.3	3.6
hodgkin	31.00	1	2009	30322692	1062	1020	1106	3.2	3	3.3	3.4	3.3	3.6	3.5	3.4	3.6
hodgkin	31.00	1	2010	30475789	1082	1040	1123	3.2	3.1	3.4	3.5	3.3	3.6	3.6	3.4	3.7
hodgkin	31.00	1	2011	30626399	1102	1057	1144	3.3	3.1	3.4	3.5	3.4	3.7	3.6	3.5	3.7
hodgkin	31.00	1	2012	30782589.5	1119	1070	1170	3.3	3.2	3.5	3.6	3.4	3.7	3.6	3.5	3.8
hodgkin	31.00	1	2013	30945466.5	1139	1082	1199	3.4	3.2	3.6	3.6	3.4	3.8	3.7	3.5	3.9
hodgkin	31.00	1	2014	31086155	1161	1092	1230	3.4	3.2	3.7	3.7	3.5	3.9	3.7	3.5	4
hodgkin	31.00	1	2015	31210477	1179	1101	1264	3.5	3.3	3.8	3.7	3.5	4	3.8	3.5	4
hodgkin	31.00	1	2016	31332989	1201	1109	1299	3.6	3.3	3.9	3.8	3.5	4.1	3.8	3.5	4.1
hodgkin	31.00	1	2017	31446345.5	1224	1117	1336	3.6	3.3	4	3.9	3.5	4.2	3.9	3.6	4.2
hodgkin	31.00	1	2018	31500281	1240	1123	1372	3.7	3.3	4.1	3.9	3.5	4.3	3.9	3.6	4.4
hodgkin	31.00	2	1990	29102652.5	541	500	585	1.7	1.6	1.8	1.8	1.6	1.9	1.9	1.7	2
hodgkin	31.00	2	1991	29243858.5	550	512	592	1.7	1.6	1.9	1.8	1.7	1.9	1.9	1.8	2
hodgkin	31.00	2	1992	29384564	560	523	602	1.8	1.6	1.9	1.8	1.7	2	1.9	1.8	2.1
hodgkin	31.00	2	1993	29509640.5	573	533	614	1.8	1.7	1.9	1.9	1.7	2	1.9	1.8	2.1
hodgkin	31.00	2	1994	29620022	587	544	628	1.8	1.7	2	1.9	1.8	2	2	1.8	2.1
hodgkin	31.00	2	1995	29727493.5	598	556	642	1.9	1.7	2	1.9	1.8	2.1	2	1.9	2.2
hodgkin	31.00	2	1996	29830389.5	614	571	656	1.9	1.8	2.1	2	1.9	2.1	2.1	1.9	2.2
hodgkin	31.00	2	1997	29931526	629	588	672	2	1.8	2.1	2	1.9	2.2	2.1	2	2.2
hodgkin	31.00	2	1998	30036624.5	646	607	690	2	1.9	2.2	2.1	2	2.2	2.2	2	2.3
hodgkin	31.00	2	1999	30191342.5	668	627	711	2.1	2	2.2	2.2	2	2.3	2.2	2.1	2.4
hodgkin	31.00	2	2000	30404491.5	690	649	734	2.2	2	2.3	2.2	2.1	2.4	2.3	2.1	2.4
hodgkin	31.00	2	2001	30631830.5	715	672	757	2.2	2.1	2.4	2.3	2.2	2.4	2.3	2.2	2.5
hodgkin	31.00	2	2002	30860462.5	737	696	780	2.3	2.2	2.4	2.4	2.2	2.5	2.4	2.3	2.5
hodgkin	31.00	2	2003	31083389.5	758	719	802	2.4	2.2	2.5	2.4	2.3	2.6	2.4	2.3	2.6
