SITE	NUMERO_SITE	SEXE	ANNEE	AGECLASSE	POIDS_MONDE	POIDS_EUROPE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TAUX_I_PRED	DC_OBS	TAUX_M_OBS	DC_PRED	DC_PRED_INF	DC_PRED_SUP	TAUX_M_PRED	TAUX_I_PRED_INF	TAUX_I_PRED_SUP	TAUX_M_PRED_INF	TAUX_M_PRED_SUP
levbp	01.00	1	1990	[00;04]	0.12	0.08	1933176.5	1	0	4	0.1	0	0	1	0	2	0.1	0	0.2	0	0.1
levbp	01.00	1	1990	[05;09]	0.1	0.07	1975705	3	1	6	0.2	0	0	1	0	2	0.1	0.1	0.3	0	0.1
levbp	01.00	1	1990	[10;14]	0.09	0.07	1920892	5	3	9	0.3	1	0.1	1	0	2	0.1	0.2	0.5	0	0.1
levbp	01.00	1	1990	[15;19]	0.09	0.07	2180747	10	6	14	0.5	2	0.1	1	0	2	0	0.3	0.6	0	0.1
levbp	01.00	1	1990	[20;24]	0.08	0.07	2151509.5	14	10	20	0.7	2	0.1	2	1	3	0.1	0.5	0.9	0	0.1
levbp	01.00	1	1990	[25;29]	0.08	0.07	2151441	26	20	32	1.2	2	0.1	4	3	5	0.2	0.9	1.5	0.1	0.2
levbp	01.00	1	1990	[30;34]	0.06	0.07	2132209.5	75	63	90	3.5	22	1	16	14	18	0.8	3	4.2	0.7	0.8
levbp	01.00	1	1990	[35;39]	0.06	0.07	2146547	307	271	346	14.3	88	4.1	78	73	83	3.6	12.6	16.1	3.4	3.9
levbp	01.00	1	1990	[40;44]	0.06	0.07	2141184	938	840	1046	43.8	278	13	262	250	274	12.2	39.2	48.9	11.7	12.8
levbp	01.00	1	1990	[45;49]	0.06	0.07	1474710.5	1295	1169	1435	87.8	394	26.7	374	363	386	25.4	79.3	97.3	24.6	26.2
levbp	01.00	1	1990	[50;54]	0.05	0.07	1435968.5	1911	1726	2115	133.1	579	40.3	589	572	606	41	120.2	147.3	39.8	42.2
levbp	01.00	1	1990	[55;59]	0.04	0.06	1468606	2440	2207	2696	166.1	861	58.6	836	818	855	56.9	150.3	183.6	55.7	58.2
