id,annee,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
3113,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N20,FRANCHE-COMTE-ZR,FR82060,Vesoul Pres Caillet,Urbaine,PM10,Fond,2,Oui,mesures fixes,,Moy. annuelle,15.0,15.374792339640464,µg-m3,99.0,100,99.0,R,1,47.62,6.157611
3102,2013,QUALITAIR CORSE,FR41N10,CORSE-ZUR,FR41022,AJACCIO DIAMANT,Urbaine,PM10,Trafic,1,Oui,mesures fixes,,Moy. annuelle,30.0,29.77377302589007,µg-m3,95.0,94,89.0,R,1,41.918306,8.736778
3111,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N10,FRANCHE-COMTE-ZUR,FR82043,Chatenois,Périurbaine,PM10,Industrielle,1,Oui,mesures fixes,,Moy. annuelle,13.0,13.269844357977163,µg-m3,100.0,100,100.0,R,1,47.14725,5.5561169999999995
3110,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N10,FRANCHE-COMTE-ZUR,FR82040,Dole centre,Urbaine,PM10,Fond,SPO,Oui,mesures fixes,,Moy. annuelle,27.0,27.093178394664196,µg-m3,97.0,55,53.0,N,-1,47.09672,5.496389
3109,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N20,FRANCHE-COMTE-ZR,FR82030,Montandon Baresans,Rurale nationale,PM10,Fond,1,Oui,mesures fixes,,Moy. annuelle,16.0,16.319841543231494,µg-m3,99.0,100,99.0,R,1,47.29464,6.825861
3108,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N10,FRANCHE-COMTE-ZUR,FR82020,Belfort Octroi,Urbaine,PM10,Trafic,2,Oui,mesures fixes,,Moy. annuelle,24.0,24.123412421491352,µg-m3,98.0,100,98.0,R,1,47.640667,6.859278
3107,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N10,FRANCHE-COMTE-ZUR,FR82010,Montbéliard centre,Urbaine,PM10,Fond,1,Oui,mesures fixes,,Moy. annuelle,27.0,26.682895498204275,µg-m3,99.0,100,99.0,R,1,47.510307,6.794
3106,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N10,FRANCHE-COMTE-ZUR,FR82006,Besancon Prevoyance,Urbaine,PM10,Fond,1,Oui,mesures fixes,,Moy. annuelle,26.0,25.700099469496585,µg-m3,98.0,35,34.0,N,-1,47.2474,6.0154190000000005
3105,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N10,FRANCHE-COMTE-ZUR,FR82003,Besancon Planoise,Urbaine,PM10,Fond,2,Oui,mesures fixes,,Moy. annuelle,27.0,27.344909136172145,µg-m3,99.0,46,46.0,N,-1,47.221973,5.971556
3104,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR17N10,FRANCHE-COMTE-ZUR,FR82002,Besancon Victor Hugo,Urbaine,PM10,Trafic,1,Oui,mesures fixes,,Moy. annuelle,29.0,28.69509975498536,µg-m3,98.0,99,98.0,R,1,47.234905,6.029472
