,anne,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
0,2013,ATMO GRAND EST,FR01A01,LORRAINE-METZ,FR01011,Metz-Centre,Urbaine,PM2.5,Fond,2,Oui,mesures fixes,,Moy. annuelle,18.0,18.224059608220447,µg-m3,96.0,99,95.0,R,1,49.119442,6.180833
99,2013,ATMO GRAND EST,FR01N20,LORRAINE-ZR,FR30026,Luneville,Urbaine,PM2.5,Trafic,,Oui,mesures fixes,,Moy. annuelle,17.0,16.856493196467618,µg-m3,96.0,99,96.0,R,1,48.584824,6.4839
98,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR29A01,RHONE-ALPES-ST-ETIENNE,FR29428,ST ETIENNE ROND PT,Urbaine,PM2.5,Trafic,5,Oui,mesures fixes,,Moy. annuelle,14.0,13.669491330808336,µg-m3,99.0,100,99.0,R,1,45.422079,4.412831
97,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR29A01,RHONE-ALPES-ST-ETIENNE,FR29426,SAINT-CHAMOND,Urbaine,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,14.0,13.589008168029158,µg-m3,98.0,99,98.0,R,1,45.475327,4.515003
96,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR29A01,RHONE-ALPES-ST-ETIENNE,FR29424,SAINT ETIENNE SUD,Urbaine,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,12.0,11.928201183432964,µg-m3,96.0,100,96.0,R,1,45.42009,4.395422
95,2013,ATMO HAUTS DE FRANCE,FR06A01,NORD-PAS-DE-CALAIS-DOUAI-BETHUNE-VALENCIENNES,FR28028,Bethune Stade,Urbaine,PM2.5,Fond,F,Oui,mesures fixes,,Moy. annuelle,18.0,18.413804387346822,µg-m3,94.0,100,94.0,R,1,50.535385,2.6356919999999997
94,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR20A01,RHONE-ALPES-LYON,FR27008,A7 Nord-Isère,Périurbaine,PM2.5,Trafic,1,Oui,mesures fixes,,Moy. annuelle,19.0,19.343509587449148,µg-m3,98.0,100,98.0,R,1,45.35327,4.8048470000000005
93,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR20A01,RHONE-ALPES-LYON,FR27004,Vienne Centre,Urbaine,PM2.5,Fond,2,Oui,mesures fixes,,Moy. annuelle,20.0,19.902788982366683,µg-m3,99.0,100,99.0,R,1,45.52597,4.875408
92,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR26N10,BOURGOGNE-ZUR,FR26043,Dijon-Transvaal,Urbaine,PM2.5,Trafic,B,Oui,mesures fixes,,Moy. annuelle,13.0,13.407509088630292,µg-m3,92.0,99,91.0,R,1,47.315459000000004,5.040202
91,2013,ATMO BOURGOGNE-FRANCHE-COMTE,FR26N10,BOURGOGNE-ZUR,FR26005,Dijon Péjoces,Périurbaine,PM2.5,Fond,B,Oui,mesures fixes,,Moy. annuelle,14.0,13.78614102118908,µg-m3,99.0,100,99.0,R,1,47.307368,5.065881
90,2013,ATMO NORMANDIE,FR25N20,HAUTE-NORMANDIE-ZR,FR25051,Dieppe prox-auto,Urbaine,PM2.5,Trafic,1,Oui,mesures fixes,,Moy. annuelle,0.0,0.0,µg-m3,0.0,4,0.0,N,-1,49.918007,1.073972
89,2013,ATMO NORMANDIE,FR25A01,HAUTE-NORMANDIE-ROUEN,FR25048,Petit Quevilly,Urbaine,PM2.5,Fond,,Oui,mesures fixes,,Moy. annuelle,18.0,17.863897804596917,µg-m3,89.0,100,89.0,R,1,49.42815,1.058025
88,2013,ATMO NORMANDIE,FR25A01,HAUTE-NORMANDIE-ROUEN,FR25037,Rouen Le Conquerant,Urbaine,PM2.5,Trafic,1,Oui,mesures fixes,,Moy. annuelle,17.0,17.003664676267988,µg-m3,98.0,100,98.0,R,1,49.441463,1.0826559999999998
87,2013,ATMO NORMANDIE,FR25A01,HAUTE-NORMANDIE-ROUEN,FR25036,Espace du Palais,Urbaine,PM2.5,Fond,A,Oui,mesures fixes,,Moy. annuelle,16.0,15.877053140097756,µg-m3,90.0,100,90.0,R,1,49.442358,1.093789
86,2013,ATMO SUD,FR24A01,PROVENCE-ALPES-COTE-D-AZUR-NICE,FR24036,NICE ARSON,Urbaine,PM2.5,Fond,2,Oui,mesures fixes,,Moy. annuelle,14.0,13.935561497326296,µg-m3,90.0,48,43.0,N,-1,43.702075,7.286256
100,2013,ATMO GRAND EST,FR01N20,LORRAINE-ZR,FR30033,Jonville en Woevre,Rurale nationale,PM2.5,Fond,,Oui,mesures fixes,,Moy. annuelle,16.0,15.630788062486308,µg-m3,98.0,100,98.0,R,1,49.06583,5.785556
85,2013,ATMO SUD,FR24A01,PROVENCE-ALPES-COTE-D-AZUR-NICE,FR24035,NICE PROMENADE,Urbaine,PM2.5,Trafic,2,Oui,mesures fixes,,Moy. annuelle,15.0,15.21714285714283,µg-m3,86.0,31,26.0,N,-1,43.689291,7.242074000000001
83,2013,ATMO SUD,FR24A01,PROVENCE-ALPES-COTE-D-AZUR-NICE,FR24009,CANNES BROUSSAILLES,Urbaine,PM2.5,Fond,2,Oui,mesures fixes,,Moy. annuelle,18.0,17.54895728462635,µg-m3,80.0,100,79.0,N,-1,43.558389,7.0059190000000005
82,2013,AIR PAYS DE LA LOIRE,FR23A01,PAYS DE LA LOIRE-NANTES,FR23188,CIM BOUTEILLERIE,Urbaine,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,14.0,14.436814588116318,µg-m3,96.0,93,90.0,R,1,47.2225,-1.5375
81,2013,AIR PAYS DE LA LOIRE,FR23N10,PAYS DE LA LOIRE-ZUR,FR23182,SOURCES,Urbaine,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,14.0,13.521124583928742,µg-m3,96.0,100,96.0,R,1,47.971066,0.22142199999999998
80,2013,AIR PAYS DE LA LOIRE,FR23N20,PAYS DE LA LOIRE-ZR,FR23177,SAINT-DENIS D'ANJOU,Rurale régionale,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,14.0,14.015308125082795,µg-m3,91.0,96,87.0,R,1,47.787729999999996,-0.44404399999999994
79,2013,AIR PAYS DE LA LOIRE,FR23A01,PAYS DE LA LOIRE-NANTES,FR23140,VICTOR HUGO,Urbaine,PM2.5,Trafic,1,Oui,mesures fixes,,Moy. annuelle,18.0,17.93013794715941,µg-m3,98.0,100,98.0,R,1,47.204356,-1.552914
78,2013,AIR PAYS DE LA LOIRE,FR23N20,PAYS DE LA LOIRE-ZR,FR23124,LA TARDIERE,Rurale nationale,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,11.0,11.196971259183844,µg-m3,93.0,95,89.0,R,1,46.656684999999996,-0.743681
77,2013,AIR PAYS DE LA LOIRE,FR23N10,PAYS DE LA LOIRE-ZUR,FR23120,BEAUX ARTS,Urbaine,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,14.0,13.817985695862241,µg-m3,97.0,100,97.0,R,1,47.468513,-0.556053
76,2013,AIR PAYS DE LA LOIRE,FR23A01,PAYS DE LA LOIRE-NANTES,FR23110,LEON BLUM,Urbaine,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,13.0,12.945328980412855,µg-m3,92.0,98,91.0,R,1,47.26412,-2.249858
75,2013,ATMO NORMANDIE,FR21N20,BASSE-NORMANDIE-ZR,FR21050,La Coulonche MERA,Rurale nationale,PM2.5,Fond,A,Oui,mesures fixes,,Moy. annuelle,13.0,12.752612931799044,µg-m3,90.0,100,90.0,R,1,48.645,-0.458333
74,2013,ATMO NORMANDIE,FR21N10,BASSE-NORMANDIE-ZUR,FR21001,Caen Chemin-Vert,Urbaine,PM2.5,Fond,,Oui,mesures fixes,,Moy. annuelle,14.0,14.072346733073552,µg-m3,96.0,100,96.0,R,1,49.19222,-0.391111
73,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR20A01,RHONE-ALPES-LYON,FR20062,LYON Centre,Urbaine,PM2.5,Fond,3,Oui,mesures fixes,,Moy. annuelle,18.0,17.953465580352443,µg-m3,97.0,100,97.0,R,1,45.757732,4.854214
72,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR20A01,RHONE-ALPES-LYON,FR20061,VILLEFRANCHE Village,Urbaine,PM2.5,Fond,1,Oui,mesures fixes,,Moy. annuelle,18.0,17.576406951318308,µg-m3,99.0,100,99.0,R,1,45.986219,4.7196370000000005
71,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR20A01,RHONE-ALPES-LYON,FR20046,VAULX EN VELIN,Urbaine,PM2.5,Fond,5,Oui,mesures fixes,,Moy. annuelle,16.0,15.560865974517382,µg-m3,97.0,100,97.0,R,1,45.7789,4.9247
70,2013,ATMO AUVERGNE-RHÔNE-ALPES,FR20A01,RHONE-ALPES-LYON,FR20013,A7 SUD LYONNAIS,Périurbaine,PM2.5,Trafic,4,Oui,mesures fixes,,Moy. annuelle,23.0,22.713657434920997,µg-m3,96.0,100,96.0,R,1,45.720024,4.818156
84,2013,ATMO SUD,FR24A01,PROVENCE-ALPES-COTE-D-AZUR-NICE,FR24021,PEILLON,Périurbaine,PM2.5,Industrielle,3,Oui,mesures fixes,,Moy. annuelle,13.0,12.633298319328619,µg-m3,87.0,100,87.0,R,1,43.786583,7.373283
69,2013,AIR BREIZH,FR19N20,BRETAGNE-ZR,FR19033,Vannes UTA,Urbaine,PM2.5,Fond,Z,Oui,mesures fixes,,Moy. annuelle,12.0,11.540758293838891,µg-m3,42.0,6,2.0,N,-1,47.648920000000004,-2.76399
102,2013,ATMO GRAND EST,FR30A02,LORRAINE-NANCY,FR30036,Nancy-Libération,Urbaine,PM2.5,Trafic,,Oui,mesures fixes,,Moy. annuelle,14.0,14.189504036910026,µg-m3,99.0,100,99.0,R,1,48.69708,6.154194
