"IRIS";"P15_POP";"fdep15"
"010010000";767;0,271468071462163
"010020000";241;-1,6566436914873
"010040101";1809;1,00103921048894
"010040102";3595;1,60798878166554
"010040201";4158;1,03330414802284
"010040202";4565;-0,882107173912237
"010050000";1619;-0,166021598981762
"010060000";109;0,303230255609078
"010070000";2615;-0,368813502896333
"010080000";747;-0,520440987305907
"010090000";342;0,115775790923342
"010100000";1133;0,517023051268655
"010110000";390;-0,971799868294198
"010120000";327;0,236208072546972
"010130000";153;1,50667159556522
"010140000";3392;1,37589242089956
"010150000";637;-0,454262881508165
"010160000";453;0,139261330266217
"010170000";433;1,3392825193918
"010190000";24;-0,547507201136012
"010210000";1370;-0,809531090333238
"010220000";1210;1,34735056357038
"010230000";64;1,43761715444894
"010240000";3328;-0,434922635043397
"010250000";3177;0,175390803388573
"010260000";902;0,348999975205518
"010270000";2997;-0,813692372569839
"010280000";597;0,273998933598174
"010290000";682;1,28277457621466
"010300000";889;0,446321033850662
"010310000";3612;1,61718795143517
"010320000";3300;-0,481474786873373
"010330101";1413;1,09878381219373
"010330102";2976;1,02501422526228
"010330201";2763;0,477578907495516
"010330202";2721;2,63575370582867
"010330301";1936;1,87623836332159
"010340101";3106;0,362335362519366
"010340102";3612;1,16144484297938
"010340103";2340;2,42473348588327
"010350000";315;-0,357677572411621
"010360000";572;-0,1698610221712
"010370000";288;0,0910980929257228
"010380000";747;-0,0293699020310263
"010390000";475;1,13973768735097
"010400000";484;0,501243595325028
"010410000";753;0,573355038586233
"010420000";271;-1,18518314780095
"010430000";4529;-1,49070234672004
"010440000";601;-0,465632833015419
"010450000";287;-1,88247563513527
"010460000";838;0,288319545155199
"010470000";1000;-1,11638444264872
"010490000";2937;-1,01922128532375
"010500000";331;1,21215027822394
"010510000";89;1,38403453027248
"010520000";309;-1,96905360793395
"010530101";1802;-0,491007497528051
"010530102";1853;0,260823307931577
"010530103";2075;-0,620652460332691
"010530201";2234;0,355981129408182
"010530202";2057;1,10160321957899
"010530203";1840;0,866258107361604
"010530301";2810;-0,723834473044965
"010530302";3134;0,297952534750326
"010530401";2222;2,37503628941501
"010530402";2442;-0,18033992105933
"010530501";1954;0,0365084471969739
"010530502";2841;0,125687437084413
"010530503";2467;3,39004053093657
"010530601";2678;3,31849548415399
"010530602";1900;3,68851926137974
"010530603";1505;4,91376140808063
"010530604";1451;0,703409312875029
"010530701";3552;0,609980218112558
"010540000";1284;-1,44573447691483
"010560000";362;0,127010214452884
"010570000";516;-0,166695707922601
"010580000";856;0,561273739638695
"010590000";100;-0,894475017665044
"010600000";536;-0,393095222383599
"010610000";1171;-0,509078572668861
"010620000";871;-2,18272419746615
"010630000";515;0,682695204292426
"010640000";1000;1,74626560543807
"010650000";1771;-1,22938491386669
"010660000";71;0,877531886565222
"010670000";256;1,51800379449051
"010680000";779;1,21749907048575
"010690000";1552;-0,511050387203868
"010710000";4817;-2,92557761836512
"010720000";3118;-0,703400817035321
"010730000";1016;-0,288421683600446
"010740000";2407;0,393130993182635
"010750000";1270;-0,0323172628067051
"010760000";144;0,39470057366802
"010770000";189;-0,500967818376609
"010780000";1370;-2,76265168965284
"010790000";819;0,266316408710147
"010800000";663;-0,195254137281984
"010810000";735;0,556780004676921
"010820000";640;0,394221553427302
"010830000";881;0,175917945950631
"010840000";804;-0,141345831116859
"010850000";383;-0,462466336386548
"010870000";285;-0,450026394206676
"010880000";932;-1,13824429867168
"010890000";2053;-0,151207842475802
"010900000";334;-0,0869545904874233
"010910000";3448;-0,145846976163412
"010920000";1566;-0,436176931105337
"010930000";4914;0,519235561934686
"010940000";748;1,21771693331423
"010950000";800;0,189658606107092
"010960000";1003;0,319330228915592
"010970000";220;0,0630547795618907
"010980000";1053;0,869571067802202
"010990000";1516;-0,712909463977732
"011000000";139;0,704695212925511
"011010000";156;-1,13422387761067
"011020000";964;0,19572729030954
"011030000";1525;-3,2509080405066
"011040000";460;-0,898064438631388
"011050000";1546;-1,12532152668611
"011060000";171;0,313865706513632
"011070000";135;0,911966306865854
"011080000";1193;0,254135585764845
"011090000";2195;-1,18972320917506
"011100000";130;0,0649832866379119
"011110000";118;-0,30464060452637
"011120000";415;1,09853838907978
"011130000";830;0,301157979751216
"011140000";591;-0,298098729103103
"011150000";1329;-0,42794810710941
"011160000";503;0,724088432689807
"011170000";146;1,07370813520145
"011180000";1246;0,697156882382007
"011210000";111;0,854385371354743
"011220000";803;-0,2374990833675
"011230000";1103;0,266604175083395
"011240000";663;0,398070885259291
"011250000";622;-0,252608314388303
"011270000";504;0,107098178541323
"011280000";301;0,420948331401652
"011290000";267;1,67430080758527
"011300000";1431;-0,410783225603773
"011330000";389;0,163556357659911
"011340000";1726;-0,235021702012765
"011350000";2115;-2,75699579457665
"011360000";832;-0,211741968945668
"011380000";3071;1,7954436259257
"011390000";446;0,378841100574116
"011400000";771;-0,0268568432876599
"011410000";425;0,430402795082373
"011420000";4573;-0,374315113856825
"011430101";3379;-1,5811306768579
"011430102";2581;-1,73665105267961
"011430103";3326;-1,64811821476289
"011440000";886;0,199920204463413
"011450000";1161;-0,142628121171723
"011460000";429;-0,0850827171869297
"011470000";480;1,06633651308378
"011480000";1845;0,789672289235034
"011490000";1058;-1,33121981951169
"011500000";219;-1,36469690910998
"011510000";1149;-0,0722518907664253
"011520000";762;-1,00626332759744
"011530000";2212;-4,05060172470053
"011540000";820;0,273032027177111
"011550000";144;1,62692986225869
"011560000";797;-0,528578296946481
"011570000";2192;-1,14996150160616
"011580000";999;-1,71109953039515
"011590000";3249;0,525723479387373
"011600101";3358;-1,78198958788246
"011600102";2658;-1,61602412959546
"011600103";3465;-1,26838277235834
"011620000";67;0,168129786436523
"011630000";2052;0,582277501970632
"011650000";1548;-0,776387665541142
"011660000";2265;-0,953437678743804
"011670000";662;0,0929513480900615
"011690000";590;-0,29038412788991
"011700000";1026;0,714317976442548
"011710000";909;0,608011865663573
"011730101";3366;-1,34865622145651
"011730102";4751;-1,98747259340902
"011730103";3570;-2,57178993076074
